"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR","metric_wosvi_sum","metric_wosvi_PR"
"13",1008,514,1008514,0.0207039433333333,0.00557967969370127,0.876288659793814,0.943298969072165,0.963917525773196,0.927835051546392,0.984536082474227,0.90979381443299,0.963917525773196
"14",1008,515,1008515,0,0.0286507468398688,0.327319587628866,0.257731958762887,0.396907216494845,0.327319587628866,0.190721649484536,0.292525773195876,0.206185567010309
"15",1008,516,1008516,1.42857142857143e-08,0.0238114568672664,0.664948453608247,0.309278350515464,0.324742268041237,0.43298969072165,0.417525773195876,0.487113402061856,0.54639175257732
"16",1009,515,1009515,0.00357453888888889,0.0347817610565079,0.793814432989691,0.170103092783505,0.907216494845361,0.623711340206186,0.757731958762887,0.481958762886598,0.536082474226804
"17",1009,516,1009516,0,0.0223214285714286,0.327319587628866,0.355670103092784,0.360824742268041,0.347938144329897,0.22680412371134,0.341494845360825,0.27319587628866
"18",1010,514,1010514,0.0518811116666667,0.00600693223989618,0.907216494845361,0.93298969072165,0.716494845360825,0.852233676975945,0.938144329896907,0.920103092783505,0.974226804123711
"19",1010,515,1010515,0.00728075545454545,0.0312435284646238,0.824742268041237,0.22680412371134,0.850515463917526,0.634020618556701,0.775773195876289,0.525773195876289,0.618556701030928
"20",1011,514,1011514,0.00719052846153846,0.00638450375419608,0.819587628865979,0.917525773195876,0.22680412371134,0.654639175257732,0.793814432989691,0.868556701030928,0.904639175257732
"21",1011,515,1011515,7.5e-08,0.0356215573468301,0.731958762886598,0.144329896907216,0.61340206185567,0.496563573883162,0.551546391752577,0.438144329896907,0.463917525773196
"22",1011,516,1011516,0.00837212,0,0.829896907216495,0.981958762886598,0.494845360824742,0.768900343642612,0.88659793814433,0.905927835051546,0.95360824742268
"23",1012,514,1012514,0.0630279872727273,0.00701234201440281,0.917525773195876,0.865979381443299,0.118556701030928,0.634020618556701,0.775773195876289,0.891752577319588,0.948453608247423
"24",1012,515,1012515,0,0.0351021527492116,0.327319587628866,0.164948453608247,0.20360824742268,0.231958762886598,0.0463917525773196,0.246134020618557,0.139175257731959
"25",1012,516,1012516,1e-07,0,0.75,0.981958762886598,0.268041237113402,0.666666666666667,0.824742268041237,0.865979381443299,0.889175257731959
"26",1013,514,1013514,0.34117112,0.010989010989011,1,0.618556701030928,0.345360824742268,0.654639175257732,0.798969072164949,0.809278350515464,0.824742268041237
"27",1013,515,1013515,2e-08,0.0345561880666245,0.670103092783505,0.175257731958763,0.422680412371134,0.422680412371134,0.376288659793814,0.422680412371134,0.427835051546392
"28",1013,516,1013516,1e-07,0,0.75,0.981958762886598,0.621134020618557,0.784364261168385,0.902061855670103,0.865979381443299,0.889175257731959
"29",1014,514,1014514,0.040685178,0.00752458453457074,0.88659793814433,0.814432989690722,0.737113402061856,0.812714776632302,0.912371134020619,0.850515463917526,0.876288659793814
"30",1014,515,1014515,0,0.0476190476190476,0.327319587628866,0.0927835051546392,0.922680412371134,0.447594501718213,0.474226804123711,0.210051546391753,0.0824742268041237
"31",1014,516,1014516,0.01835121,0,0.865979381443299,0.981958762886598,0.948453608247423,0.93213058419244,0.989690721649485,0.923969072164949,0.979381443298969
"32",1015,515,1015515,0,0.0384615384615385,0.327319587628866,0.118556701030928,0.463917525773196,0.303264604810997,0.134020618556701,0.222938144329897,0.108247422680412
"33",1015,516,1015516,0.01686409375,0.00192307692307692,0.855670103092783,0.958762886597938,0.902061855670103,0.905498281786942,0.979381443298969,0.907216494845361,0.958762886597938
"34",1016,514,1016514,0.174336418333333,0.00780052100192911,0.984536082474227,0.793814432989691,0.664948453608247,0.814432989690722,0.920103092783505,0.889175257731959,0.940721649484536
"35",1016,515,1016515,0,0.0792616629210832,0.327319587628866,0.0257731958762887,0.597938144329897,0.31701030927835,0.172680412371134,0.176546391752577,0.0257731958762887
"36",1016,516,1016516,1e-07,0,0.75,0.981958762886598,0.561855670103093,0.764604810996564,0.881443298969072,0.865979381443299,0.889175257731959
"37",1017,514,1017514,6e-08,0.00647310206133735,0.716494845360825,0.907216494845361,0.690721649484536,0.77147766323024,0.891752577319588,0.811855670103093,0.829896907216495
"38",1017,515,1017515,0,0.0561557456734087,0.327319587628866,0.0515463917525773,0.195876288659794,0.191580756013746,0.0206185567010309,0.189432989690722,0.0515463917525773
"39",1017,516,1017516,0.00485039769230769,0.00714016375781082,0.809278350515464,0.835051546391753,0.829896907216495,0.824742268041237,0.927835051546392,0.822164948453608,0.84020618556701
"40",1018,514,1018514,0.011653895,0.0105684725775948,0.84020618556701,0.623711340206186,0.355670103092784,0.606529209621993,0.721649484536082,0.731958762886598,0.788659793814433
"41",1018,515,1018515,0,0.032258064516129,0.327319587628866,0.206185567010309,0.556701030927835,0.36340206185567,0.27319587628866,0.266752577319588,0.164948453608247
"42",1018,516,1018516,0,0.029033865101456,0.327319587628866,0.252577319587629,0.286082474226804,0.288659793814433,0.103092783505155,0.289948453608247,0.201030927835052
"43",1019,514,1019514,0.0951458825,0.00723631653938559,0.943298969072165,0.824742268041237,0.865979381443299,0.878006872852234,0.956185567010309,0.884020618556701,0.927835051546392
"44",1019,515,1019515,0,0.0373925619657625,0.327319587628866,0.134020618556701,0.551546391752577,0.337628865979381,0.206185567010309,0.230670103092784,0.123711340206186
"45",1019,516,1019516,0,0.0341689385807033,0.327319587628866,0.180412371134021,0.154639175257732,0.220790378006873,0.0360824742268041,0.253865979381443,0.144329896907216
"46",1020,514,1020514,0.014465984,0.00656468208933253,0.845360824742268,0.896907216494845,0.585051546391753,0.775773195876289,0.896907216494845,0.871134020618557,0.912371134020619
"47",1020,515,1020515,0,0.0162441389239236,0.327319587628866,0.469072164948454,0.809278350515464,0.535223367697594,0.603092783505155,0.39819587628866,0.371134020618557
"48",1020,516,1020516,0,0.0339239702866705,0.327319587628866,0.185567010309278,0.711340206185567,0.40807560137457,0.345360824742268,0.256443298969072,0.149484536082474
"49",1021,514,1021514,0.1464885,0.00934579439252336,0.974226804123711,0.690721649484536,0.541237113402062,0.735395189003436,0.855670103092783,0.832474226804124,0.860824742268041
"50",1021,515,1021515,0,0.0170334547213229,0.327319587628866,0.438144329896907,0.793814432989691,0.519759450171821,0.587628865979381,0.382731958762887,0.34020618556701
"51",1022,515,1022515,0,0.0204284914666523,0.327319587628866,0.381443298969072,0.65979381443299,0.456185567010309,0.505154639175258,0.354381443298969,0.293814432989691
"52",1023,514,1023514,0.118322381666667,0.00764966682012322,0.969072164948454,0.804123711340206,0.721649484536082,0.831615120274914,0.93298969072165,0.88659793814433,0.93298969072165
"53",1023,515,1023515,0,0.0243018737468818,0.327319587628866,0.304123711340206,0.139175257731959,0.256872852233677,0.0721649484536082,0.315721649484536,0.242268041237113
"54",1024,514,1024514,0.0469199888888889,0.00713965942078587,0.896907216494845,0.84020618556701,0.706185567010309,0.814432989690722,0.920103092783505,0.868556701030928,0.904639175257732
"55",1024,515,1024515,0,0.0263190318434676,0.327319587628866,0.27319587628866,0.701030927835051,0.433848797250859,0.422680412371134,0.300257731958763,0.221649484536082
"56",1024,516,1024516,1e-07,0,0.75,0.981958762886598,0.912371134020619,0.881443298969072,0.963917525773196,0.865979381443299,0.889175257731959
"57",1025,514,1025514,0.0177574471428571,0.00651385790265306,0.860824742268041,0.902061855670103,0.458762886597938,0.740549828178694,0.865979381443299,0.881443298969072,0.922680412371134
