,Block_y,Tract,BID,Pdamage_avg,inv_dist_avg,Pdamage_PR,Efficiency_PR,SVI_PR_total,metric_sum,metric_PR
76,2004,515,2004515,2.73E-08,0.009213369,0.690721649,0.448453608,0.237113402,0.485051546,0.530927835
157,3025,514,3025514,2.78E-09,0,0.654639175,0.739690722,0.203608247,0.482731959,0.525773196
116,2025,516,2025516,0,0.049362154,0.327319588,0.072164948,0.775773196,0.481185567,0.520618557
191,3062,514,3062514,0,0,0.327319588,0.739690722,0.603092784,0.478865979,0.515463918
179,3048,514,3048514,0.0034716,0,0.788659794,0.739690722,0.020618557,0.476546392,0.510309278
65,1028,515,1028515,0,0.068674525,0.327319588,0.036082474,0.768041237,0.474484536,0.505154639
108,2019,516,2019516,0,0.073975681,0.327319588,0.030927835,0.762886598,0.471907216,0.5
163,3031,514,3031514,0,0,0.327319588,0.739690722,0.572164948,0.466494845,0.494845361
55,1024,515,1024515,0,0.026319032,0.327319588,0.216494845,0.701030928,0.465721649,0.489690722
72,2003,514,2003514,0,0,0.327319588,0.739690722,0.567010309,0.46443299,0.484536082
48,1020,516,1020516,0,0.03392397,0.327319588,0.139175258,0.711340206,0.462113402,0.479381443
83,2007,515,2007515,2.50E-08,0.026796219,0.682989691,0.206185567,0.242268041,0.459020619,0.474226804
51,1022,515,1022515,0,0.020428491,0.327319588,0.304123711,0.659793814,0.457989691,0.466494845
117,2026,516,2026516,0,0.087289467,0.327319588,0.015463918,0.731958763,0.457989691,0.466494845
119,2029,516,2029516,0,0.037428212,0.327319588,0.118556701,0.680412371,0.447680412,0.458762887
102,2016,516,2016516,0,0.021315193,0.327319588,0.288659794,0.634020619,0.446134021,0.453608247
75,2004,514,2004514,0,0,0.327319588,0.739690722,0.518041237,0.444845361,0.448453608
134,2049,516,2049516,0,0.021285455,0.327319588,0.293814433,0.628865979,0.444587629,0.443298969
101,2016,515,2016515,0,0.014389234,0.327319588,0.427835052,0.592783505,0.443556701,0.43814433
96,2012,516,2012516,0.001345451,0.02463577,0.778350515,0.231958763,0.077319588,0.443298969,0.432989691
89,2009,516,2009516,2.22E-08,0.01656453,0.675257732,0.37628866,0.159793814,0.439175258,0.427835052
139,3001,514,3001514,0,0,0.327319588,0.739690722,0.5,0.437628866,0.422680412
11,1006,515,1006515,0,0.035240857,0.327319588,0.128865979,0.646907216,0.435309278,0.417525773
154,3019,514,3019514,0,0,0.327319588,0.739690722,0.489690722,0.433505155,0.412371134
78,2005,514,2005514,0,0,0.327319588,0.739690722,0.484536082,0.431443299,0.407216495
156,3021,514,3021514,0,0,0.327319588,0.739690722,0.476804124,0.428350515,0.399484536
170,3039,514,3039514,0,0,0.327319588,0.739690722,0.476804124,0.428350515,0.399484536
